index,ratings,reviewText,label
1,4,A great read to continue the Bride Train series.  Looking forward to book #4.  This book was hard to put down.,1
2,4,"good western read, with a little sci fi  mixed in. good story and had you hanging right up until the end.",1
3,4,"Sunscreen will not be the only thing found on the beach in Hot Fun in the Summertime by Chicki Brown. Drama! What else could happen when seven people from different walks of life vacation together in a beach house for two hot summer months? The women are the writer, video vixen, real estate agent/accountant, and the hairstylist/cosmetologist. It is through their voices the story is told. What a story it is!Aside from Jovita, who is helplessly in love, the other three women are content in living their life as is. Shontae has buried herself into the world she creates for her characters. Considering she writes romance, she should be the one who believes in love. Due to previous bad relationships she does not give real love a chance. Even with Linda, the one who is the most levelheaded of the bunch, she too has not given love very much thought since her divorce. She keeps herself busy with her real estate and accounting career. As for Linda's younger sister, Kinnik, men are good for one thing...keeping her in fancy designer clothes and paying her bills.While their time on the beach is supposed to be fun and relaxation, this summer will prove to be anything but. Eyes begin to open and things change fast for all the people in the beach house. Whether good or bad, this is a summer they will not forget is one thing they all can agree on.Chicki Brown has done it again. Hot Fun in the Summertime is the second e-book she has released and it is full of romance and drama. Ms. Brown takes great care in describing the setting. By the time I was finished with the book, I longed for the same beach house and the various other places the characters enjoyed. I coin the title and dub Ms. Brown, Queen of e-book romance. Romance readers will love this book.The author provided a copy of the e-book for review purposes.Jennifer CoissiereAPOOO BookClub",1
4,5,"I have to qualify that I am a zombie movie fan, but have never really cared for zombie books. Saying that, if all zombie fiction was written like this, I would definitely jump on the bandwagon. This story was well written, not overly gory, but just gory enough to keep your attention. The relationship between the boy and his father was very real and heartfelt. This author has an excellent grasp of painting relationships between characters with a very 3 dimensional brush. I found that I actually cared a lot what happened to the main characters, and I was irritated when a villainous character crossed them. To me, that is the most important factor in reading fiction. Do I care? Yes, in this case, very much. I am now not only a fan of zombie fiction, I am a big fan of this author. I am currently reading some of his other titles, and will voraciously gobble up any new releases. Keep them coming and I will keep reading!As far as spelling and/or grammatical errors, the story was so engaging to me that if there were any, I was not bothered/did not notice them at all. I was not grading an english term paper, I was reading a very well written compelling book!",1
5,5,"This is a very detailed and unique paranormal story that really sparked my interest.  I found myself reading this one late into the evening, literary having to force myself to stop instead of becoming sieep deprived.  It was that good.",1
6,4,"I really enjoyed this book. Kip and Mandy were meant to be together forever. Despite the ups and downs of life, true love won out.",1
7,5,This is now one of my favorites from Kristen Ashley works! let me tell you that is huge because Kristen Ashley is such an amazing writer that to pick one  even a top five is difficult to do without feling you are cheating on the other stories.That being said Joe & Vi.... HOLY SMOKES!  So incredibly hot and such an incredible story of falling in love all over again after things don't work the first time.,1
8,5,"I like to give short honest reviews. When I read a book/story its for the fun and love of reading.Mile 81 is old school Stephen King, Nightshift, Nightmare & Dreamscape days old school. If you love King shorts you'll love this one.",1
9,4,"Warning: This review might contain what some people consider SPOILERS.Rating: 7/10PROS:- Angel is much less childlike in this story than in the previous one. He's still immature at times, but I thought of him more as a bratty adult sub than an actual child, which was how I viewed him when I read Angel and the Assassin. He shows a level of courage and fortitude toward the end of this book that I would admire in any character; compared to his behavior in the first book, he's very impressive in this one.- There's quite a bit more about Kael's background in this volume, and it's easier to see why he goes so jelly-kneed around Angel when you see instances of similar emotional vulnerability from Kael's past.- We also get a lot more insight into Angel's character by hearing about his childhood. This helped me to understand his juvenile behavior--as well as the core of strength in him--much better.- The relationship depicted in these books is different than those depicted in many other BDSM romances in that the men's relationship is not exclusive sexually. I'm not a particular fan of that facet of the relationship, but I do like that Angel and Kael are both secure enough in their feelings for each other than they can play with other people and not have to deal with overwhelming jealousy afterwards.CONS:- The writing isn't bad, but there's quite a bit of unnecessary telling and repetition. Here's an example: Kael is teaching a class and has asked for a volunteer. No one speaks up except Angel, who performs the task perfectly, and then there's this: ""Every hand went up. Angel had shamed them into doing their job."" It's obvious from the first sentence that the other characters have been shamed into doing their jobs. We don't need to be TOLD that.- The plot outside of the romance is decent enough, but for some reason it just didn't grab me and hold on. I was far more interested in Angel than Kael, so the scenes in which Kael was off on his own, Angel still at home, didn't hold my attention too well.Overall comments: There's a tendency toward melodrama in the characters' actions here, but it didn't seem as extreme to me as it was in the first book. This one's toned down a bit from its predecessor, and I liked it more as a result. I don't think you have to have read the first one in order to enjoy the story here; if you HAVE read the first one, though, be prepared for some small changes in the characters' actions and personalities. Kael is more emotional (which leads to volatility and irrational behavior), and Angel is more mature.",1
10,5,"Up for a challenge, Abie Holloway takes on the assignment to lure tall, sexy Tyler toward accepting a contract to sing for The Centenniel Committee at their annual fundraising event. Abie is next in line at Mitchell's Promotions for a vice presidency if she can pull the proverbial cat out of the hat. Tyler never performs for an intimate audience but cash is needed to keep his ranch operating as the retreat center for troubled teens that it has become. Abie is all business but her attraction for Tyler messes with her head and keeps her off track. Great read and hard to put down.",1
11,4,"Fantastic way to start a book! I mean having Keara's parents die is horrible, but in doing that it gives this book a great platform to take off from.After Keara's parents death, her weird aunt Aingeal moves in with her from Ireland and life as she knows it comes to a complete halt. And I mean complete and utter halt. Home school, in-her-room hermit with no outside contact for 2 months! That is until her gay best friend Jared (I love that he's gay) comes swoopin' in to bust her out of her rut by going to a concert that involves her favorite band EVER. While out that night Keara gets an uneasy feeling that someone is watching her....that's when she spots Channing. Blond hair, piercing eyes that make her melt on the inside, you know the whole teenage heart throb thing. She's not sure what it is about him that makes her senses go wild, but she likes it!After running into Channing again at Night Secrets, a new club in town, she knows she's got the hots for him.  She also notices that she's catching the eye of the mysterious club owner, Corbin. After coming to Keara's rescue she feels as though Corbin would do anything to make sure she's safe....that is until he's suddenly attacking her in the parking lot of his club. Or is he?Now with secrets revealing themselves at every turn Keara must trust those around her to keep her safe, but more importantly she must learn trust what is locked inside herself and believe she can tap into before it's too late.Ok....coming down from this read I was initially SUPER excited about it. I enjoyed the twist that was given on the paranormal side of things, but I wanted to book to be longer. The plot was good, laid out well, I just know it could have used a couple more chapters. Oh and assuming that this novel is YA simply because the main characters are in high school is an epic fail on my part, because man there was a scene, or two,  that had me blushing!One thing that I really liked was, if a decision was made that would contradict what a previous character stated, the author was able to pull the plot & side plots together to make it all run together extremely well. This is hard to do, and I've found myself lately asking authors, ""Why are you letting that happen, it doesn't make sense!"", needless to say the book doesn't give me answers & it's frustrating as hell!All in all, this was a really good read. I'm looking forward to where BK takes Keara on her journey, and hoping the next book is a tad bit longer.4/5",1
